,broj_tema,avg_rezultata,posto_poz,posto_neg
2021-06-29,7,-0.9714749200003487,0.0,1.0
2021-07-05,1,0.6777638792991638,1.0,0.0
2021-07-06,6,-0.31619058052698773,0.3333333333333333,0.6666666666666666
2021-07-07,6,-0.31372379263242084,0.3333333333333333,0.6666666666666666
2021-07-08,5,-0.592970609664917,0.2,0.8
2021-07-09,4,-0.8692088574171066,0.0,1.0
2021-07-10,3,-0.975645899772644,0.0,1.0
2021-07-12,2,-0.03211545944213867,0.5,0.5
2021-07-13,6,-0.9089575906594595,0.0,1.0
2021-07-14,1,-0.9946223497390747,0.0,1.0
2021-07-15,3,-0.33045123020807904,0.3333333333333333,0.6666666666666666
2021-07-16,3,-0.32428306341171265,0.3333333333333333,0.6666666666666666
2021-07-24,6,-0.40027517080307007,0.3333333333333333,0.6666666666666666
2021-07-25,1,-0.8153817057609558,0.0,1.0
2021-07-26,4,-0.47888240218162537,0.25,0.75
2021-07-27,1,0.989662766456604,1.0,0.0
2021-07-28,9,-0.5531356069776747,0.2222222222222222,0.7777777777777778
2021-07-29,3,-0.9840180476506551,0.0,1.0
2021-07-30,7,-0.40914991072246004,0.2857142857142857,0.7142857142857143
2021-07-31,3,-0.9749553998311361,0.0,1.0
2021-08-01,3,-0.49319225549697876,0.3333333333333333,0.6666666666666666
2021-08-02,4,-0.5168835073709488,0.25,0.75
2021-08-03,4,-0.4183555543422699,0.25,0.75
2021-08-04,6,-0.9964400827884674,0.0,1.0
2021-08-05,7,-0.9632768375532967,0.0,1.0
2021-08-06,9,-0.784755289554596,0.1111111111111111,0.8888888888888888
2021-08-07,10,-0.21879236102104188,0.4,0.6
2021-08-08,8,-0.7554957270622253,0.125,0.875
2021-08-09,6,-0.6595972875754038,0.16666666666666666,0.8333333333333334
2021-08-10,12,-0.653328999876976,0.16666666666666666,0.8333333333333334
2021-08-11,20,-0.4064151614904404,0.3,0.7
2021-08-12,16,-0.4187377914786339,0.3125,0.6875
2021-08-13,9,-0.7635793950822618,0.1111111111111111,0.8888888888888888
2021-08-14,4,-0.48449601233005524,0.25,0.75
2021-08-15,8,-0.4746195897459984,0.25,0.75
2021-08-16,4,0.003223806619644165,0.5,0.5
2021-08-17,7,-0.47208946091788156,0.2857142857142857,0.7142857142857143
2021-08-18,10,-0.9423097133636474,0.0,1.0
2021-08-19,6,-0.6634672780831655,0.16666666666666666,0.8333333333333334
2021-08-20,9,-0.3202933801545037,0.3333333333333333,0.6666666666666666
2021-08-21,9,-0.7947798636224535,0.1111111111111111,0.8888888888888888
2021-08-22,7,-0.9452987909317017,0.0,1.0
2021-08-23,6,-0.6475964287916819,0.16666666666666666,0.8333333333333334
2021-08-24,13,-0.5402742211635296,0.23076923076923078,0.7692307692307693
2021-08-25,4,-0.9790914505720139,0.0,1.0
2021-08-26,5,-0.14519420862197877,0.4,0.6
2021-08-27,5,0.1244929552078247,0.6,0.4
2021-08-28,5,-0.2423532247543335,0.4,0.6
2021-08-29,6,-0.01751464605331421,0.5,0.5
2021-08-30,1,-0.9982655644416809,0.0,1.0
2021-08-31,5,-0.5366689920425415,0.2,0.8
2021-09-01,3,-0.34281979004542035,0.3333333333333333,0.6666666666666666
2021-09-02,8,-0.9670871496200562,0.0,1.0
